City,Latitude,FeasibleConfigs_0.002,FeasibleConfigs_0.02,FeasibleConfigs_0.2,ParetoConfigs_0.002,ParetoConfigs_0.02,ParetoConfigs_0.2
Antananarivo,-18.88,2404,1618,288,5,6,7
San Juan,-31.54,2374,1611,412,5,5,7
